Number,Question,Options,Answer
1,You have an application that needs to perform full-text search on large datasets. Which Azure service should you use?,a. Azure SQL Database b. Azure AI Search c. Cosmos DB d. Azure Data Lake,b
2,Which component of Azure AI Search is responsible for defining how documents are indexed?,a. Indexer b. Index c. Data Source d. Skillset,b
3,Which Azure AI Search feature allows users to correct spelling mistakes in search queries?,a. Synonyms b. Suggesters c. Normalizers d. Query Spell Checker,d
4,You need to include a cognitive skill that extracts people’s names from unstructured text. Which skill should you use?,a. OCR skill b. Entity Recognition skill c. Text Translation skill d. Sentiment Detection skill,b
5,Which of the following is NOT a valid data source for Azure AI Search?,a. Azure SQL Database b. Cosmos DB c. Blob Storage d. Google Cloud Storage,d
6,Which component of Azure AI Search allows you to apply AI-powered transformations on data before indexing?,a. Indexer b. Index c. Skillset d. Query Pipeline,c
7,Which feature in Azure AI Search enables faceted navigation for search results?,a. Filters b. Projections c. Facets d. Sorting,c
8,Which index field attribute allows partial matching in search queries?,a. Facetable b. Searchable c. Retrievable d. Filterable,b
9,You need to integrate an AI enrichment pipeline in Azure AI Search. What is the first step?,a. Define an index b. Create a skillset c. Configure an indexer d. Create a data source,d
10,Which Azure AI Search feature enables recommendations for search queries as users type?,a. Autocomplete b. Query Spell Checker c. Scoring Profiles d. Synonyms,a
11,What is the purpose of scoring profiles in Azure AI Search?,a. To enhance relevance of search results b. To store user preferences c. To group search results by categories d. To apply query filters,a
12,Which storage service is best suited for storing and indexing large amounts of unstructured data for Azure AI Search?,a. Azure Blob Storage b. Azure Table Storage c. Azure SQL Database d. Azure Data Lake,a
13,Which indexer setting ensures that only modified data is reindexed?,a. Full Indexing b. Incremental Indexing c. Batch Indexing d. Real-time Indexing,b
14,What is the primary advantage of using a skillset in Azure AI Search?,a. To improve search indexing by enriching data with AI b. To organize search results into categories c. To filter search results efficiently d. To optimize query execution,a
15,Which type of search query in Azure AI Search allows for partial word matching?,a. Fuzzy Search b. Exact Match c. Wildcard Search d. Range Query,a
16,Which Azure AI Search feature improves search result relevance by adjusting weights of fields?,a. Ranking Profiles b. Indexer c. Synonyms d. Data Sources,a
17,What is the primary purpose of the suggesters feature in Azure AI Search?,a. To provide query suggestions as users type b. To rank search results c. To enable faceted search d. To apply AI enrichment,a
